,FILE,LOC,COM,BLK,NOF,NOC,APF,AMC,NER,NEH,CYC,MAD,BUG
298,./scikit-learn/sklearn/metrics/cluster/__init__.py,50,0,3,0,0,0.0,0.0,0,0,1,3,1
299,./scikit-learn/sklearn/metrics/cluster/_bicluster.py,84,0,23,4,0,2.75,0.0,0,0,2,9,0
302,./scikit-learn/sklearn/metrics/cluster/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
303,./scikit-learn/sklearn/metrics/cluster/tests/test_bicluster.py,45,1,11,3,0,0.0,0.0,0,0,1,7,0
304,./scikit-learn/sklearn/metrics/cluster/tests/test_common.py,190,30,29,9,0,1.44,0.0,0,0,9,12,0
305,./scikit-learn/sklearn/metrics/cluster/tests/test_supervised.py,401,47,81,29,0,0.38,0.0,0,0,19,15,0
306,./scikit-learn/sklearn/metrics/cluster/tests/test_unsupervised.py,358,36,55,15,0,0.53,0.0,0,0,12,9,0
307,./scikit-learn/sklearn/ensemble/__init__.py,43,0,2,0,0,0.0,0.0,0,0,1,3,1
316,./scikit-learn/sklearn/ensemble/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
319,./scikit-learn/sklearn/ensemble/tests/test_common.py,238,21,24,5,0,2.8,0.0,0,0,12,11,1
323,./scikit-learn/sklearn/ensemble/tests/test_iforest.py,283,34,80,19,0,0.89,0.0,0,0,11,12,0
326,./scikit-learn/sklearn/ensemble/_hist_gradient_boosting/__init__.py,4,0,1,0,0,0.0,0.0,0,0,1,2,0
333,./scikit-learn/sklearn/ensemble/_hist_gradient_boosting/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
334,./scikit-learn/sklearn/ensemble/_hist_gradient_boosting/tests/test_histogram.py,210,8,29,4,0,0.75,0.0,0,0,10,9,0
335,./scikit-learn/sklearn/ensemble/_hist_gradient_boosting/tests/test_binning.py,390,35,99,22,0,1.09,0.0,0,0,13,14,0
338,./scikit-learn/sklearn/ensemble/_hist_gradient_boosting/tests/test_predictor.py,152,19,35,3,0,1.67,0.0,0,0,2,10,0
340,./scikit-learn/sklearn/ensemble/_hist_gradient_boosting/tests/test_bitset.py,56,0,8,2,0,2.5,0.0,0,0,7,9,0
341,./scikit-learn/sklearn/ensemble/_hist_gradient_boosting/tests/test_warm_start.py,196,33,35,9,0,3.0,0.0,0,0,10,11,0
342,./scikit-learn/sklearn/ensemble/_hist_gradient_boosting/tests/test_compare_lightgbm.py,237,44,42,3,0,4.33,0.0,0,0,16,12,0
344,./scikit-learn/sklearn/linear_model/__init__.py,97,3,3,0,0,0.0,0.0,0,0,1,3,1
360,./scikit-learn/sklearn/linear_model/tests/test_theil_sen.py,250,31,44,20,0,0.25,0.0,0,0,8,10,0
361,./scikit-learn/sklearn/linear_model/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
364,./scikit-learn/sklearn/linear_model/tests/test_bayes.py,231,44,68,17,0,0.65,0.0,0,0,5,10,0
366,./scikit-learn/sklearn/linear_model/tests/test_ransac.py,437,35,108,31,0,0.68,0.0,0,0,13,9,0
368,./scikit-learn/sklearn/linear_model/tests/test_common.py,135,21,12,1,0,3.0,0.0,0,0,14,11,0
369,./scikit-learn/sklearn/linear_model/tests/test_sparse_coordinate_descent.py,322,29,62,14,0,2.0,0.0,0,0,8,11,0
373,./scikit-learn/sklearn/linear_model/tests/test_linear_loss.py,316,21,41,7,0,3.57,0.0,0,0,15,12,0
374,./scikit-learn/sklearn/linear_model/tests/test_omp.py,222,13,51,21,0,0.14,0.0,0,0,4,10,0
377,./scikit-learn/sklearn/linear_model/tests/test_quantile.py,266,29,40,14,0,1.86,0.0,0,0,11,10,0
378,./scikit-learn/sklearn/linear_model/tests/test_huber.py,171,26,45,13,0,0.46,0.0,0,0,3,9,0
379,./scikit-learn/sklearn/linear_model/_glm/__init__.py,14,2,1,0,0,0.0,0.0,0,0,1,3,1
382,./scikit-learn/sklearn/linear_model/_glm/tests/__init__.py,2,2,0,0,0,0.0,0.0,0,0,1,0,1
385,./scikit-learn/sklearn/cross_decomposition/__init__.py,2,0,1,0,0,0.0,0.0,0,0,1,3,1
386,./scikit-learn/sklearn/cross_decomposition/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
387,./scikit-learn/sklearn/cross_decomposition/tests/test_pls.py,591,54,148,27,0,0.78,0.0,0,0,17,11,1
388,./scikit-learn/sklearn/compose/__init__.py,16,0,4,0,0,0.0,0.0,0,0,1,3,1
392,./scikit-learn/sklearn/compose/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
394,./scikit-learn/sklearn/inspection/__init__.py,11,0,2,0,0,0.0,0.0,0,0,1,3,1
398,./scikit-learn/sklearn/inspection/tests/test_pd_utils.py,38,0,9,4,0,2.0,0.0,0,0,3,8,0
399,./scikit-learn/sklearn/inspection/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
402,./scikit-learn/sklearn/inspection/_plot/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
405,./scikit-learn/sklearn/inspection/_plot/tests/__init__.py,0,0,0,0,0,0.0,0.0,0,0,1,0,0
